Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,Santo Antão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamento,Palenquero,Cavite Chabacano,Ternate Chabacano,Zamboanga Chabacano,Karipuna,Louisiana,Guianese,Haitian,Mauritian,Guadeloupean,Martinican,Saint Lucian,Réunionese,Seychellois
swell,itʃa,intʃa,ĩtʃa,intʃa,intʃə,fikaintʃadu,,,ĩtʃɐ,ĩtʃa,ĩtʃa,ĩtʃɐ,ĩtʃɐ,fuma,fuma,fuma,fuma,,,intʃa,,intʃa,intʃaw,intʃa,ghõfle,gõfle,gõfle,ãfle,ãfle,ãfle,ãfle,ãfle,,
swim,nada,nada,nada,nada,,nada,nada̹,nada,nadɐ,nɐda,nada,nɐdɐ,nadɐ,lɐ̃da,laanta,lɐ̃da,lɐ̃da,nadɐ,nada,landa,,nada,nada,nada,naʒe,naʒe,naʒe,naʒe,naze,naʒe,naʒe,naʒe,nazɛ,nazɛɛ
tail,ɾʰab,ʀab,ɾab,ɾaʋ,ɾabə,rabu,rabu,ɾabu,ɾabu,ʀɔb,ʀɔb,ɾabu,ɾabu,labu,labu,urabu,labu,,rabu,ɾabu,labo,rabu,rabu,rabu,laʃo,ke,tʃo,ke,lake,lace,lace,laʧe,lake,lake
that,akə,akel,ikəl,aka,akəl,ki,akuŋa,akelu,kel la,kel,kel,kella,kel,ke,ʃiki,ki,,kelɐ,kella,esei,ake,akel,kalja,akel,sa,sa,sa,sila,sa,sa,lotla,se,sa,sa
there,ali,ali,ali,alaa,ali,nali,ali,ala,la,la,la,la,la,ala,ala,la,la,la,la,aja,aja,alja,aji,aʎa,la,la,la,la,laba,la,la,la,,la
they,elo,elz,elz,etus,olot,olotu,olotɾu,dʒentiaka,es,eʃ,es,es,ezi,ine,ɛnɛ,inɛ,ɛnɛ,elis,ɟelus,nan,ane,ilus,lotɾu,sila,je,je,je,jo,zot,jo,jo,jo,zotla,zot
thick,gɾos,gɾos,gɾos,gɾoosu,gɾosə,grosu,gɾo̹so,tebal,gɾɔs,gɾos,gɾos,gɾɔs,gɾosu,glɔsu,gɔɔsu,gɔsu,nɛtaɾu,gɾɔs,gɾos,goɾdo,entutanaw,gɾwesu,gɾwesu,gɾwesu,pɛs,epe,epɛs,epe,epe,epe,epe,epe,,epe
thin,ɾʰal,ʀal,fin,finu,finə,finu,magɾu,magɾi,finu,fin,fin,finu,finu,dlɛgadu,dɛɛgadu,finu,mɐ̃gu,,dalgadu,delega,ɾeggao,pinu,plaku,pinu,mɛg,fẽ,mɛg,mẽs,mẽs,fɛ̃,fɛ̃,mɛ̃s,mɛg,mɛ̃s
think,ʋitʃaɾhedze,pensa,pẽsa,lembɾa,lembɾa,pensa,rena̜,lembɾa,pẽsɐ,pẽnsa,pẽsa,pẽsɐ,pẽsɐ,pɛ̃sa,pẽsa,pẽsa,pɛ̃θa,lẽbɾa,,pensa,pensa,pinsa,pensa,pensa,maʒine,ʒõŋgle,pãse,pãse,mazine,sɔ̃ʒe,sɔ̃ʒe,pãse,mazine,pãse
this,je,es,es,isti,isti,isti,istuŋa,esta,kel li,kelei,es,kelli,kelli,isaki,isala,,,ɛs,es,esaki,ese,este,esti,esti,sa,sa,sa,sa,sa,si,tala,sala,sa,sa
three,tɾej,tɾej,tɾej,tɾees,tɾesə,tres,tɾes,tɾes,tɾɛs,tɾeʃ,tɾeʃ,tɾes,tɾes,tleʃi,teeʃi,teeʃi,teeʃi,tɾes,tres,tɾes,tɾes,tɾes,tɾes,,thwa,tɾwa,tʁwa,,tɣwa,twa,twa,twa,tʀwa,tɣwa
throw,atɾa,atɾa,atəɾa,pintʃaa,,pintʃa,atiɾa̜,pintʃa,djɐ,ʀemesa,bta,botɐ,botɐ,zuga,zugwa,zuga,ðuga,mɐ̃da,bota,tiɾa,etʃa,buta,tiɾa,buta,ʒite,gaɾoche,,ʒəte,zete,laɟeatɛ,ʒete,ʒete,,zete
tie,mhaɾa,maʀa,aməɾa,maɾaa,maɾɛ,mara,maɾa̹,maɾa,maɾɐ,mɐʀa,maʀa,maɾɐ,maɾɐ,mala,mala,mara,maa,mara,,maɾa,mala,amara,maʰra,amaʰra,mahe,amaɾe,maʁe,maɾẽ,amaɣe,ljãne,maɣe,ataʃe,,ãmaɣe
tongue,liŋ,liŋ,liŋ,lingu,lingə,liŋgu,liŋgu,liŋgu,lĩgwɐ,lĩŋgɐ,lĩŋgɐ,lĩgwɐ,lĩgwɐ,lũgwa,lũŋga,lũgɛ,lũga,lĩgwɐ,,leŋa,leŋgwa,leŋgwa,leŋgwa,leŋgwa,laŋ,lalãŋg,laŋ,lãg,lalãŋ,lãg,laŋ,lãŋ,lãg,lalã
tooth,dɛ̃t,dent,dẽt,deenti,denti,denti,dente,denti,dẽti,dẽnt,dẽt,dẽti,dẽti,dẽtʃi,dẽntʃi,idɛ̃tʃɪ,detʃɪ,dĩti,dinti,dʒente,ɾjende,djenti,djenti,djenti,dã,dã,,dã,ledã,dã,dã,dã,dã,ledã
tree,alb,aɾʋ,aɾʋ,aalʋɾi,alʋɾi,albi,a̜ɾvɾe,albəɾ,aɾvi,aɾv,aɾv,aɾvi,aɾvi,aluvu,opa,upa,,arvorɪ,po,palu,palo,ponuo,ponu,ponu,pjebwa,bwa,bwa,pjebwa,pje,pjebwa,pjebwa,pjebwa,pje,pje
turn,ʋiɾahedze,ʋiɾa,ʋiɾa,ʋiɾa,ʋiɾə,bira,viɾa̜,biɾa,biɾɐ,vɾa,vɾa,biɾa,biɾa,bila,vla,vja,bila,viɾɐ,bida,biɾa,ɾia,biɾa,biɾa,biɾa,vihe,tuɾne,viʁe,tũnẽ,viɣe,tunɛ̃,tunɛ̃,tune,tuʀne,viɣe
two,doj,doj,doj,doos,dos,dos,do̹s,dos,dɔs,doj,doʃ,dos,dos,dosu,dosu,dosu,dosu,dos,dus,dos,ndo,dos,dos,dos,de,de,de,de,de,de,de,de,de,de
vomit,gumita,lansa,,gumitaa,gumtə,gumita,,,gumitɐ,vmita,vumita,vumitɐ,vomitɐ,ŋgumita,luza,gumita,ŋgumita,rɔbasa,,aɾoha,,bumita,gumita,gumita,vomi,vomi,vʁõmi,vomi,vomi,vɔ̃mi,vɔ̃mi,vɔ̃mi,,vomi
walk,maɾtʃa,maɾtʃa,ãda,matʃa,maɾtʃæ,anda,anda̜,maɾtʃa,ɐ̃dɐ,ãnda,ãda,ɐndɐ,ɐnda,ɐ̃dali,nda,nda,nda,jɐ̃dɐ,ɟenda,kana,kamina,kamina,kamina,kamina,maʃe,maɾʃe,maʃe,maʃe,maɣse,maʃe,maʃe,maʃe,maase,maase
warm,kɛ̃t,kent,kẽt,keenti,kenti,kenti,kente,kenti,kẽti,kẽnt,kẽt,kẽti,kẽti,kẽtʃi,kẽtʃi,kẽtʃi,ketʃi,kĩntɪ,cinti,kajente,mblaso,kaljenti,kaljenti,kaʎenti,ʃofe,ʃofe,ʃofe,ʃo,so,ʃo,ʃo,ʃo,so,so
wash,laʋa,laʋa,laʋa,laʋaa,ləʋə,laba,,limpa,labɐ,lɐva,lɐva,labɐ,labɐ,laba,laba,lava,laba,labɐ,laba,laba,laba,laba,laba,laba,lave,lave,lave,lave,lave,lave,lave,lave,lave,lave
water,ag,ag,ag,aaʋ,agə,agu,a̜gu,agu,agu,agɐ,agɐ,agu,agwa,awɐ,awa,awɐ,awɐ,jagʊ,ɟagu,awa,agwa,agwa,agwa,agwa,dlo,dolo,dlo,dlo,delo,dlo,dlo,dlo,dlo,ɟilo
we,nɔ,nɔs,nɔs,noos,nɔzə,nus,nos,nos,nu,nos,nɔs,nos,nos,nõ,nõ,nɔ̃,nɔ̃,anɔs,nos,nos,suto,niso,motɾu,kita,nu,nuzɔt,nu,nu,nu,nu,nu,nu,nu,nu
wet,muljad,muljad,mujad,mujaadu,muʎad,muladu,muladu,muladu,modʒadu,mojɔd,mojɔd,modʒadu,modʒadu,mɔ̃ɲadu,maadu,mwadu,miadu,mɔjadu,,muha,,muhaw,muhaw,muhaw,thãpe,tɾãp,muje,muje,muje,plɛ̃dlo,muje,muje,,imid
what,ki,ki,ki,ki,ki,ki,ki,ki,kusɛ,ke,kze,kuze,kuze,kwa,xa,kwa,kwaj,kal,ke,kiko,ke,kosa,kosa,kosa,ki,ki,kisa,ki,ki,kisa,kisa,ki,kosa,ki
when,kɔɾ,kwan,kwɔn,kijɔɔɾa,kiɔɾə,kantu,keloɾa,kioɾa,ɔɾɐ,kõnd,kɔ̃d,kitẽpu,kuãdu,ɔla,gɔla,kãnu,ɔla,,woca,kioɾa,kwandi,kwandu,kwandu,kwandu,kã,kã,kã,kã,kã,lɛ,lɛ,kile,kã,kã
where,un,un,ɔn,oondi,ɔndi,undi,unde,ondi,ũdi,õnd,ũd,ũdi,,ɐ̃dʒi,ana,,,nũdɛ,,unda,andi,dondi,dondi,dondi,kote,au,u,kikote,kot,kikote,kikote,kote,usa,kote
white,bɾak,bɾank,bɾãk,bɾaanku,bɾankə,braŋku,bɾanku,bɾaŋku,bɾɐ̃ku,brõŋk,bɾõk,bɾãku,bɾãku,blɐ̃ku,bɐ̃ɐ̃ŋku,bɐ̃ɐ̃ku,ubɐ̃ɐ̃ku,bɾɐ̃ku,braŋku,blanku,blanko,blaŋku,blaŋku,blaŋku,blã,blã,blã,blãʃ,blã,blã,blã,blã,blã,blã
who,kɛ̃,kẽ,kẽ,keem,kɛ̃,kɛŋ,kiŋ,kiŋ,keɲɐ,kẽ,kẽ,keɲɐ,keɲi,kẽ,keŋge,nĩge,ŋej,kĩ,ki,kẽ,kjen,kjen,kjen,kjen,kin,ki,ki,ki,ki,ki,kimun,kimunki,kisa,ki
wide,laɾg,laɾg,laɾg,laɾgu,laɾg,largu,la̜ɾgo,laɾgu,laɾgu,lɔɾg,lɔɾg,laɾgu,laɾgu,lalugu,bagabaga,lagu,,laɾgu,largu,antʃu,,antʃu,antʃu,antʃu,laʒ,laɾʒ,,laʒ,laɣz,laʒ,laʒ,laʒ,,laaz
wife,mulɛɾ,muʎɛɾ,mujɛɾ,mujeeɾa,muʎɛɾ,mule,muljeɾ,muleɾ,mudʒeɾ,mljeɾ,amdʒɛɾ,mudʒe,mudʒɛɾ,mwala,mjɛle,mjɛ,mẽgai,mindʒer,miɲɟer,esposa,muhe,muheɾ,muheɾ,isposa,fam,fam,madãmmaʁje,madãm,fam,madãm,madãm,madãm,fam,bɔ̃nfãm
wind,ʋɛ̃t,ʋent,ʋẽt,ʋɛɛntu,ʋæntə,bentu,ventu,bentu,bẽu,vẽnt,vẽt,bẽtu,bẽtu,vɛ̃tu,ɔvɛ̃tu,uvɛ̃tu,vɛ̃tu,vẽtʊ,,bjentu,,bjentu,bjentu,bjentu,vã,vã,vã,vã,divan,vã,vã,vã,,ɟivã
wing,adz,az,az,aasa,azə,aza,asa,,asɐ,aza,azɐ,aza,aza,azɐ,aza,azɐ,aðɐ,azɐ,ãsa,ala,ala,alas,alas,,zɛl,ɛl,zɛl,zɛl,lezel,zɛl,zɛl,zel,,lezel
wipe,lipakupan,limpakutɾap,lĩpa,limpaa,limpə,limpa,esfɾega̹,,lĩpɐ,lĩmpa,lĩpa,lĩpɐ,lĩpɐ,flɛga,,fɛga,,lĩmpɐ,limpa,baɾi,limpja,limpja,limpja,,fote,sije,fʁote,sije,suje,swije,swije,swije,,
with,ku,ku,ku,kum,,ku,ko,ka,ku,ma,ma,ku,ku,ku,ku,kõ,ku,ku,,ku,ku,kon,kon,kon,ke,avɛk,ke,ak,ek,epi,epi,evɛk,ɛk,avek
woman,mulɛɾ,muʎɛɾ,mujɛɾ,mujeeɾa,muʎɛɾ,mule,mulɛ,femi,mudʒeɾ,mieɾ,amdʒɛɾ,mudʒe,mudʒɛɾ,mwala,mjɛle,mjɛ,mẽgai,mindʒer,miɲɟer,muhɛ,muhe,muheɾ,muheɾ,muheɻ,fam,fam,fãm,fãm,fam,fãm,fãm,fãm,fam,fam
worm,bitʃ,bitʃ,bitʃ,biitʃi,,tʃatʃiŋ,bitʃu,mioka,bitʃu,lɐgaɾtɐ,lɐgaɾtɐ,bitʃu,bitʃu,bisu,bisu,bisu,biθu,bagabagɐ,,bitʃi,mahoho,bulati,bulati,gusanu,vɛ,vɛɾ,vɛ,vɛ,leveɣ,vɛ,vɛ,ve,,levɛɛdtɛɛ
year,an,an,an,aanu,anɛ,anu,anu,anu,anu,on,ɔn,anu,anu,ɐ̃nu,anu,anu,anu,anu,anu,aɲa,aɲo,anjo,anju,aɲu,ane,an,ã,ane,ane,lãne,lãne,zã,,lãnɛ̃
yellow,maɾɛl,maɾɛl,amɾɛl,maɾelo,maɾæl,marelu,maɾilu,maɾelu,maɾɛlu,meɾel,ɐmɐɾɛl,maɾelu,maɾelu,malɛlu,dɔladu,marɛlu,malɛlu,amaɾɛlʊ,,hel,amariw,amaɾilju,amaɾilju,amaɾiʎu,ʒɔn,ʒon,ʒɔn,ʒõn,zon,ʒɔ̃n,ʒɔ̃n,ʒɔn,zɔ̃,zɔ̃
you(plural,,,,botus,,bolotu,vosotɾu,vosotəɾ,ɲos,pseʃ,bzot,ɲos,ɲos,inɐ̃se,namsɛɛ,ɔwɔ,eθe,abɔs,bos,boso,enu,buso,tedi,kamo,u,to,u,u,twa,u,u,wu,twe,to
you(singular),use,use,use,bose,bosə,bos,vos,bos,bu,se,bo,bo,bo,bo,bo,tʃi,bo,abɔ,bo,bo,bo,tu,bus,bo,zɔt,vuzɔt,azɔt,zɔt,zot,zot,zot,zɔt,zot,u
